variable,GT_remit,GT_noremit,HND_remit,HND_noremit,SLV_remit,SLV_noremit
exp_6months_health_pc,0.7118155619596542,0.54375,0.8297297297297297,0.7255813953488373,0.806390977443609,0.7560975609756098
exp_6months_clothing_pc,0.5936599423631124,0.45,0.4189189189189189,0.3813953488372093,0.4943609022556391,0.4878048780487805
exp_6months_education_pc,0.3631123919308357,0.33125,0.3891891891891892,0.4325581395348837,0.19924812030075187,0.15447154471544716
exp_6months_debt_pc,0.28530259365994237,0.39375,0.31891891891891894,0.4232558139534884,0.27631578947368424,0.4634146341463415
exp_6months_social_pc,0.11815561959654179,0.05625,0.15135135135135136,0.09767441860465116,0.2199248120300752,0.15447154471544716
exp_6months_inputs_pc,0.2910662824207493,0.29375,0.17027027027027028,0.27906976744186046,0.18421052631578946,0.23577235772357724
exp_6months_savings_pc,0.13544668587896252,0.09375,0.1864864864864865,0.06511627906976744,0.14097744360902256,0.13821138211382114
exp_6months_repairhouse_pc,0.1239193083573487,0.0875,0.23783783783783785,0.20930232558139536,0.2725563909774436,0.23577235772357724
